Torsade B B_DISEASE_ADJECTIVE[DISEASE]/B_STUDY[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
de I B_DISEASE_ADJECTIVE[DISEASE]/I_STUDY[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
pointes I B_DISEASE_ADJECTIVE[DISEASE]/I_STUDY[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
ventricular B B_DISEASE_ADJECTIVE[DISEASE]/I_STUDY[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
tachycardia I B_DISEASE_ADJECTIVE[DISEASE]/I_STUDY[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
during O O
low O O
dose O O
intermittent O O
dobutamine O O
treatment O O
in O O
a O O
patient O O
with O O
dilated B B_DISEASE
cardiomyopathy I I_DISEASE
and O O
congestive B B_DISEASE/B_LOCATION
heart I I_DISEASE/I_LOCATION
failure I I_DISEASE/I_LOCATION
. O O

The O O
authors O O
describe O O
the O O
case O O
of O O
a O O
56 O O
- O O
year O O
- O O
old O O
woman O O
with O O
chronic O O
, O O
severe O O
heart B B_DISEASE
failure I I_DISEASE
secondary O O
to O O
dilated B B_DISEASE
cardiomyopathy I I_DISEASE
and O O
absence O O
of O O
significant O O
ventricular B B_DISEASE
arrhythmias I I_DISEASE
who O O
developed O O
QT B B_DISEASE
prolongation I I_DISEASE
and O O
torsade B B_DISEASE
de I I_DISEASE
pointes I I_DISEASE
ventricular B I_DISEASE
tachycardia I I_DISEASE
during O O
one O O
cycle O O
of O O
intermittent O O
low O O
dose O O
( O O
2 O O
. O O
5 O O
mcg O O
/ O O
kg O O
per O O
min O O
) O O
dobutamine O O
. O O

This O O
report O O
of O O
torsade B B_DISEASE
de I I_DISEASE
pointes I I_DISEASE
ventricular B I_DISEASE
tachycardia I I_DISEASE
during O O
intermittent O O
dobutamine O O
supports O O
the O O
hypothesis O O
that O O
unpredictable O O
fatal O O
arrhythmias B B_DISEASE/B_LAB_PROCEDURE[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
may O O
occur O O
even O O
with O O
low O O
doses O O
and O O
in O O
patients O O
with O O
no O O
history O O
of O O
significant O O
rhythm O O
disturbances O O
. O O

The O O
mechanisms O O
of O O
proarrhythmic O O
effects O O
of O O
Dubutamine O O
are O O
discussed O O
. O O

Positive O O
skin O O
tests O O
in O O
late O O
reactions O O
to O O
radiographic O O
contrast O O
media O O
. O O

In O O
the O O
last O O
few O O
years O O
delayed O O
reactions O O
several O O
hours O O
after O O
the O O
injection O O
of O O
radiographic O O
and O O
contrast O O
materials O O
( O O
PRC O O
) O O
have O O
been O O
described O O
with O O
increasing O O
frequency O O
. O O

After O O
angiography O O
by O O
the O O
venous O O
route O O
in O O
patient O O
n O O
degree O O
1 O O
a O O
biphasic O O
reaction O O
with O O
an O O
immediate O O
reaction O O
( O O
dyspnea B B_DISEASE
, O O
loss B B_DISEASE
of I I_DISEASE
consciousness I I_DISEASE
) O O
and O O
delayed O O
macro B B_DISEASE/B_LAB_PROCEDURE[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
- I B_DISEASE/I_LAB_PROCEDURE[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
papular I B_DISEASE/I_LAB_PROCEDURE[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
rash I B_DISEASE/I_LAB_PROCEDURE[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
appeared O O
, O O
whilst O O
patient O O
n O O
degree O O
2 O O
developed O O
a O O
generalised O O
sensation O O
of O O
heat O O
, O O
persistent O O
pain B B_DISEASE
at O O
the O O
site O O
of O O
injection O O
immediately O O
and O O
a O O
generalised O O
macro O O
- O O
papular O O
reaction O O
after O O
24 O O
hours O O
. O O

The O O
positive O O
skin O O
tests O O
are O O
in O O
favour O O
of O O
immunological O O
reactions O O
and O O
may O O
help O O
in O O
diagnosis O O
of O O
allergy B B_DISEASE
in O O
the O O
patients O O
. O O

Risk O O
of O O
transient O O
hyperammonemic B B_DISEASE
encephalopathy I I_DISEASE
in O O
cancer B B_DISEASE/B_PERSON
patients O O
who O O
received O O
continuous O O
infusion O O
of O O
5 O O
- O O
fluorouracil O O
with O O
the O O
complication O O
of O O
dehydration B B_DISEASE/B_THERAPEUTIC_OR_PREVENTIVE_PROCEDURE
and O O
infection B B_DISEASE
. O O

From O O
1986 O O
to O O
1998 O O
, O O
29 O O
cancer B B_DISEASE/B_PERSON
patients O O
who O O
had O O
32 O O
episodes O O
of O O
transient O O
hyperammonemic B B_DISEASE
encephalopathy I I_DISEASE
related O O
to O O
continuous O O
infusion O O
of O O
5 O O
- O O
fluorouracil O O
( O O
5 O O
- O O
FU O O
) O O
were O O
identified O O
. O O

None O O
of O O
the O O
patients O O
had O O
decompensated O O
liver B B_DISEASE/B_GENE
disease I I_DISEASE/I_GENE
. O O

Onset O O
of O O
hyperammonemic B B_DISEASE
encephalopathy I I_DISEASE
varied O O
from O O
0 O O
. O O
5 O O
to O O
5 O O
days O O
( O O
mean O O
: O O
2 O O
. O O
6 O O
+ O O
/ O O
- O O
1 O O
. O O
3 O O
days O O
) O O
after O O
the O O
initiation O O
of O O
chemotherapy O O
. O O

Plasma O O
ammonium O O
level O O
ranged O O
from O O
248 O O
to O O
2387 O O
microg O O
% O O
( O O
mean O O
: O O
626 O O
+ O O
/ O O
- O O
431 O O
microg O O
% O O
) O O
. O O

Among O O
the O O
32 O O
episodes O O
, O O
26 O O
( O O
81 O O
% O O
) O O
had O O
various O O
degrees O O
of O O
azotemia B B_DISEASE
, O O
18 O O
( O O
56 O O
% O O
) O O
occurred O O
during O O
bacterial B B_DISEASE/B_THERAPEUTIC_OR_PREVENTIVE_PROCEDURE
infections I I_DISEASE/I_THERAPEUTIC_OR_PREVENTIVE_PROCEDURE
and O O
14 O O
( O O
44 O O
% O O
) O O
without O O
infection B B_DISEASE/B_PERSON
occurred O O
during O O
periods O O
of O O
dehydration B B_DISEASE/B_THERAPEUTIC_OR_PREVENTIVE_PROCEDURE
. O O

Higher O O
plasma O O
ammonium O O
levels O O
and O O
more O O
rapid O O
onset O O
of O O
hyperammonemia B B_DISEASE
were O O
seen O O
in O O
18 O O
patients O O
with O O
bacterial B B_DISEASE/B_DRUG[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
infections I B_DISEASE/I_DRUG[THERAPEUTIC_OR_PREVENTIVE_PROCEDURE]
( O O
p O O
= O O
0 O O
. O O
003 O O
and O O
0 O O
. O O
0006 O O
, O O
respectively O O
) O O
and O O
in O O
nine O O
patients O O
receiving O O
high O O
daily O O
doses O O
( O O
2600 O O
or O O
1800 O O
mg O O
/ O O
m2 O O
) O O
of O O
5 O O
- O O
FU O O
( O O
p O O
= O O
0 O O
. O O
0001 O O
and O O
< O O
0 O O
. O O
0001 O O
, O O
respectively O O
) O O
. O O

In O O
conclusion O O
, O O
hyperammonemic B B_DISEASE
encephalopathy I I_DISEASE
can O O
occur O O
in O O
patients O O
receiving O O
continuous O O
infusion O O
of O O
5 O O
- O O
FU O O
. O O

Azotemia B B_DISEASE_ADJECTIVE[DISEASE]/B_TIME[MEASURE]
, O O
body O O
fluid O O
insufficiency O O
and O O
bacterial B B_DISEASE
infections I I_DISEASE
were O O
frequently O O
found O O
in O O
these O O
patients O O
. O O

It O O
is O O
therefore O O
important O O
to O O
recognize O O
this O O
condition O O
in O O
patients O O
receiving O O
continuous O O
infusion O O
of O O
5 O O
- O O
FU O O
. O O

1 O O
. O O

The O O
effects O O
of O O
two O O
unselective O O
potassium O O
( O O
K O O
( O O
+ O O
) O O
- O O
) O O
channel O O
blockers O O
, O O
quinine O O
( O O
12 O O
. O O
5 O O
, O O
25 O O
and O O
50 O O
mg O O
/ O O
kg O O
) O O
and O O
4 O O
- O O
aminopyridine O O
( O O
1 O O
and O O
2 O O
mg O O
/ O O
kg O O
) O O
, O O
on O O
conditioned O O
place O O
preference O O
and O O
biphasic O O
changes O O
